recipe_name,recipe_link,main_ingredient,meal_role,calories_kcal,carbohydrates_g,protein_g,fat_g,fiber_g,cholesterol_mg,sodium_mg,potassium_mg,calcium_mg,vitamin_a_iu,vitamin_c_mg,iron_mg,price_try,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9,ingredient_10,ingredient_11,ingredient_12,ingredient_13,ingredient_14,ingredient_15,ingredient_16,ingredient_17,ingredient_18,ingredient_19,ingredient_20,ingredient_21,ingredient_22,ingredient_23,ingredient_24,ingredient_25,ingredient_26,ingredient_27,ingredient_28,ingredient_29,ingredient_30
Kuru Patlıcan Salatası,https://www.nefisyemektarifleri.com/kuru-patlican-salatasi/,Sebze,Salata,113,9.8,3.7,6.6,3.8,4.68,212.07,491.3,97.46,297.9,33.93,1.08,22.47,7-8 adet kuru patlıcan,1 adet kırmızı biber,1 adet yeşil biber,1 adet soğan,2 diş sarımsak,1 kase yoğurt,2 yemek kaşığı biber salçası (acı olursa çok yakışıyor),2 yemek kaşığı sıvı yağ,Pul biber (salçanız acı ise gerek yoktur),Tuz,,,,,,,,,,,,,,,,,,,,
Kızarmış Patates Salatası,https://www.nefisyemektarifleri.com/kizarmis-patates-salatasi-tarifi/,Sebze,Salata,328,42.1,5.2,14.5,3.78,0,147.9,1050.52,215.28,213.7,19.54,0.2,23.53,6-7 tane orta boy patates,1 tane kırmızı biber,1 tane kuru soğan,1 yemek kaşığı ince kıyılmış maydanoz,Tuz. pul biber,Kızartmak için sıvı yağ,,,,,,,,,,,,,,,,,,,,,,,,
Makarna Salatası,https://www.nefisyemektarifleri.com/video/makarna-salatasi-tarifi-videosu/,Bakliyat,Salata,302,43,8.4,9.9,1.4,77.3,195.6,136.25,117.7,139.1,4.92,0.35,20.49,Yarım paket küçük (yüksük. boncuk) makarna,1 su bardağı mayonez,1.5 su bardağı sarımsaklı yoğurt,10 adet kornişon turşu,5 adet haşlanmış sosis,1 büyük kavanoz garnitür (havuç. bezelye. patates),1 küçük konserve mısır,1 çorba kaşığı sıvı yağ,Yarım demet maydanoz,Yarım demet dereotu,1 avuç yeşil zeytin (çekirdekleri çıkartılmış küçük küçük doğranmış),Tuz,Karabiber,,,,,,,,,,,,,,,,,
Kızarmış Patates Salatası,https://www.nefisyemektarifleri.com/video/kizarmis-patates-salatasi/,Sebze,Salata,192,30.2,3.8,5.9,3.1,0,124.8,730.7,218.3,262.8,26.74,0.6,23.53,4 adet orta boy patates,1 adet kırmızı biber,1 adet kırmızı soğan,Çeyrek demet maydanoz,Çeyrek demet dereotu,1 tatlı kaşığı sumak,1 tatlı kaşığı kuru nane,1 tatlı kaşığı pul biber,1 tatlı kaşığı tuz,Yarım limon suyu,1-2 yemek kaşığı zeytinyağı,Sıvı yağ,,,,,,,,,,,,,,,,,,
Yıldız Şehriye Salatası,https://www.nefisyemektarifleri.com/video/yildiz-sehriye-salatasi-nasil-yapilir/,Bakliyat,Salata,237,34.6,4.9,9.2,0.8,0,74.5,145.4,12.5,55.3,24.4,0.4,17.71,1 su bardağı yıldız şehriye,4-5 adet kornişon turşu,1 adet közlenmiş kırmızı biber,4-5 dal yeşil soğan,1 kutu konserve mısır,1 tutam maydanoz,1 çay kaşığı tuz,3 yemek kaşığı zeytinyağı,1 adet limon suyu,,,,,,,,,,,,,,,,,,,,,
Yoğurtlu Patates Topları,https://www.nefisyemektarifleri.com/video/yogurtlu-patates-toplari-tarifi/,Süt Ürünü,Salata,76,14.5,2.3,0.6,1.2,2.34,116.1,304.3,212.8,197.3,4.15,0.17,13.94,2 adet patates,1 tutam maydanoz,Yarım çay kaşığı karabiber,1.5 çay kaşığı tuz,Yarım çay kaşığı pul biber,Sarımsaklı yoğurt,Tereyağında kızdırılmış pul biber,,,,,,,,,,,,,,,,,,,,,,,
Patates Salatası,https://www.nefisyemektarifleri.com/video/patates-salatasi-tarifi/,Sebze,Salata,221,30.7,4.2,8.7,3.2,0,320.06,966.49,52.38,262.4,12.34,1.09,45.05,2-3 yemek kaşığı zeytinyağı,1 adet kuru soğan,1 yemek kaşığı domates salçası,4-5 adet büyük boy patates,Kuru nane,Tuz,Toz kırmızı biber,1 çay kaşığı karabiber,3-4 dal taze soğan,Yarım demet maydanoz,Bir tutam dereotu,,,,,,,,,,,,,,,,,,,
Salatalıklı Patatesli Meze Yapımı,https://www.nefisyemektarifleri.com/video/salatalikli-patatesli-meze-yapimi/,Sebze,Salata,188,32.3,5.7,3.3,2.85,5.8,170.46,891.56,281.5,227.3,6.69,0.61,10.87,4 adet orta boy patates,5 adet salatalık,5 tepeleme yemek kaşığı yoğurt,2 iri diş sarımsak,2 yemek kaşığı mayonez,1 tutam dereotu,1 tatlı kaşığı tuz,,,,,,,,,,,,,,,,,,,,,,,
Közlenmiş Patlıcan Salatası,https://www.nefisyemektarifleri.com/video/kozlenmis-patlican-salatasi-tarifi/,Sebze,Salata,182,10.8,3.3,14.6,7.19,0.06,123.85,597.04,130.58,519.6,86.83,1.27,40.9,4 tane patlıcan,2 adet kırmızı biber,4 adet çarliston biber,1 adet kuru soğan,2 adet domates,2-3 diş sarımsak,4-5 yemek kaşığı zeytinyağı,Yarım limon suyu,1 çay kaşığı tuz,,,,,,,,,,,,,,,,,,,,,
Kabak Salatası,https://www.nefisyemektarifleri.com/yedikce-yedirten-kabak-salatasi/,Sebze,Salata,106,10.8,4.03,5.02,0.7,6.3,78.3,202.3,103.49,100.01,10.32,0.95,14.77,4 adet kabak,3 su bardağı yoğurt,2 yemek kaşığı mayonez,1 kase garnitür (1.5 su bardağı),1 su bardağı tane mısır,1 diş sarımsak,Yarım demet ince doğranmış dereotu,Çok az sıvı yağ,Tuz,,,,,,,,,,,,,,,,,,,,,
Kısır,https://www.nefisyemektarifleri.com/kisir-tarifi-elif/,Bakliyat,Salata,326,59.8,8.1,7.2,2.07,0,91.4,196.42,57.18,279.83,9.24,1.35,29.37,6 çay bardağı kısırlık bulgur (köftelik bulgur),5 su bardağı sıcak su,1 yemek kaşığı tepeleme biber salçası,1 yemek kaşığı domates salçası,Domates (yaz domatesi küçük küçük doğranarak eklenebilir. kışın yerine domates salçası ekliyoruz),1 demet maydanoz,6 dal yeşil soğan,6-7 yaprak taze nane,7-8 yaprak marul,1 tatlı kaşığı karabiber,1 tatlı kaşığı tuz,1 çay kaşığı kimyon (isteğe bağlı),1 limon suyu,Yarım çay bardağı nar ekşisi,Yarım çay bardağı zeytinyağı,,,,,,,,,,,,,,,
Tavuklu Göbek Marul Salatası,https://www.nefisyemektarifleri.com/video/tavuklu-gobek-marul-salatasi/,Tavuk,Salata,242,23.5,22.6,6.9,0.4,15.46,364.2,412.28,196.16,154,1.5,0.43,57.57,Yarım göbek marul,5 yemek kaşığı yoğurt,3 yemek kaşığı süzme yoğurt,1 adet tavuk göğsü,1 kase kornişon turşu,1 kutu konserve mısır,1 yemek kaşığı mayonez,Tuz (turşunun tuzunu da göz önüne alarak ekleyelim),,,,,,,,,,,,,,,,,,,,,,
Yoğurtlu Erişte Salatası,https://www.nefisyemektarifleri.com/video/yogurtlu-eriste-salatasi-videosu/,Süt Ürünü,Salata,139,17.9,4.3,5.7,1.19,4.68,339.75,124.45,107.12,1596.07,4.12,0.72,40.06,1 su bardağı erişte,1 adet havuç,Dereotu,Tuz,1 kase dolusu yoğurt,1 yemek kaşığı mayonez,2 diş ezilmiş sarımsak,Tuz,Zeytinyağı,Kırmızı toz biber,,,,,,,,,,,,,,,,,,,,
Lokanta Usulü Acılı Ezme Salata,https://www.nefisyemektarifleri.com/video/lokanta-usulu-acili-ezme-salata-videolu/,Sebze,Salata,56,3.5,0.8,4.4,1.34,0,77.05,143.51,33.1,288.4,32.3,0.53,252.08,3 domates,2 adet kapya biber,3-4 tane yeşil biber,1 tutam maydanoz,Yarım salatalık,1 adet kuru soğan,2 diş sarımsak,1 yemek kaşığı domates salçası,Yarım çay bardağı zeytinyağı,1 tatlı kaşığı tuz,1 yemek kaşığı sirke,Karabiber – pul biber,,,,,,,,,,,,,,,,,,
Yoğurtlu Semizotu Salatası,https://www.nefisyemektarifleri.com/semizotu-salatasi-tarifi/,Süt Ürünü,Salata,129,4.5,3.4,8,0.84,7.67,226.65,400,141,904,11.34,2,160.53,2 kase semizotu (1 bağ),2 diş sarımsak,1 kase yoğurt,Tuz,Zeytinyağı,Pul biber,,,,,,,,,,,,,,,,,,,,,,,,
Yeşil Mercimek Salatası,https://www.nefisyemektarifleri.com/yesil-mercimek-salatasi-3254055/,Bakliyat,Salata,171,18.2,7.8,6.1,9.8,0,21,424,46.4,1440,9.6,3.18,151.76,1 su bardağı yeşil mercimek,1 adet havuç,3-4 dal taze soğan,3-4 dal taze nane,Maydanoz,Dereotu,3-4 dal roka,1 adet kırmızı biber (benim biber turşum vardı konserve onu kullandım. közlenmiş de kullanabilirsiniz),1 çay bardağı haşlanmış mısır,3-4 adet salata turşusu,1 yemek kaşığı nar ekşisi,1 adet limon (ekşi sevmeyenler azaltabilir),Zeytinyağı,Tuz,,,,,,,,,,,,,,,,
Labneli Köz Patlıcan Salatası,https://www.nefisyemektarifleri.com/labneli-koz-patlican-salatasi-muhtesem-lezzet/,Süt Ürünü,Salata,78,5.1,2.9,5.1,4.41,0.89,101.52,327.56,80.56,146.61,7.95,0.67,10.62,10 adet patlıcan (Közlenmiş),1 paket labne ( 200 gr ),1 çay kaşığı tuz,2 tepeleme yemek kaşığı süzme yoğurt,2 yemek kaşığı sıvı yağ,1 tatlı kaşığı tereyağ,1 çay kaşığı toz biber,1 çay kaşığı pulbiber,,,,,,,,,,,,,,,,,,,,,,
Kuskus Salatası,https://www.nefisyemektarifleri.com/kuskus-salatasi-nasil-yapilir/,Sebze,Salata,318,44.89,6.69,12.29,1.57,0,6.78,145.78,29.02,112.54,31.36,0.84,138.78,Yarım paket kuskus makarna,1 su bardağı mısır,Yarım demet dereotu,Yarım demet maydanoz,1 adet orta boy kırmızı biber (isteyen közlenmiş kırmızı biber de kullanabilir),3-4 dal taze yeşil soğan,5-6 adet kornişon turşu,1 yemek kaşığı nar ekşisi,1 tane limonun suyu,Yarım çay bardağı zeytinyağı,Yeteri kadar tuz,,,,,,,,,,,,,,,,,,,
Garnitürlü Kuskus Salatası,https://www.nefisyemektarifleri.com/garniturlu-kuskus-salatasi/,Sebze,Salata,387,65,12.8,7.4,2.81,8.7,255.2,198.39,175.42,169.75,1.99,0.76,93.51,1 su bardağı kuskus,Garnitür (konserve kullandım),Kornişon turşu,Mısır (konserve),Tuz,1.5 su bardağı yoğurt,4 yemek kaşığı mayonez,,,,,,,,,,,,,,,,,,,,,,,
Yoğurtlu Tavuk Salatası,https://www.nefisyemektarifleri.com/video/yogurtlu-tavuk-salatasi-nasil-yapilir/,Tavuk,Salata,232,5.4,26.5,11.6,0.7,4.68,553.53,412.06,205.27,168.39,4.56,0.93,503.2,500 gram tavuk göğsü,1 tatlı kaşığı tuz (tavuğu haşlamak için),2 adet salatalık,6 adet kornişon turşu,1 tutam dereotu,1 su bardağı yoğurt,3 yemek kaşığı mayonez,2 diş sarımsak,1 çay kaşığı tuz,1 çay bardağı çekilmiş ceviz,Zeytinyağı,Ceviz,Kırmızı toz biber,,,,,,,,,,,,,,,,,
Patates Rulo,https://www.nefisyemektarifleri.com/patates-rulo-tarifi/,Sebze,Salata,188,34.4,5.6,2.2,2.14,3.31,140.42,688.4,178.81,37,0.13,0.02,77.72,5-6 adet orta boy patates,1 tatlı kaşığı tuz,4 yemek kaşığı yoğurt,2 yemek kaşığı mayonez,Garnitür (havuç. bezelye),Nane yaprağı,Yeşil zeytin,,,,,,,,,,,,,,,,,,,,,,,
Ezme Patates Salatası,https://www.nefisyemektarifleri.com/ezme-patates-salatasi-2956954/,Sebze,Salata,120,14.8,2.4,5.3,1.32,1.13,107.54,339.3,111.79,656.18,2.72,0.31,142.67,4-5 patates,1 orta boy havuç,1/2 (yarım) demet maydanoz,2 adet taze soğan,1 tatlı kaşığı kuru nane,1 çay kaşığı karabiber,1 çay kaşığı kimyon,2 çay kaşığı tuz,1 yemek kaşığı mayonez(arzu ederseniz),2 yemek kaşığı parmesan peyniri (olmasa olur bizimkiler seviyor diye ilave ettim),1/2 (yarım) çay bardağı zeytinyağı,Yoğurt,Sarımsak,,,,,,,,,,,,,,,,,
Gavurdağı Salata,https://www.nefisyemektarifleri.com/video/gavurdagi-salata-nasil-yapilir/,Sebze,Salata,219,14.6,3.7,17.2,3.04,0,287.75,371.98,131.45,661.5,43.2,1.27,94.65,3 adet domates,1 adet yeşil biber,1 adet kuru soğan,3-4 dal taze soğan,Maydanoz,2 avuç iri kırılmış ceviz,Zeytinyağı,Nar ekşisi,Sumak,Tuz,,,,,,,,,,,,,,,,,,,,
Mor Lahana Salatası,https://www.nefisyemektarifleri.com/tursu-tadinda-mor-lahana-salatasi-10-dakikada/,Sebze,Salata,94,11.4,0.87,4.98,2.59,0,280.92,99.16,307.27,131.86,89.34,0.87,21.95,Yarım mor lahana,1 adet limon,2 yemek kaşığı sirke,1 yemek kaşığı nar ekşisi,Yarım demet maydanoz,Yarım demet dereotu,Zeytinyağı,Tuz,,,,,,,,,,,,,,,,,,,,,,
Şalgamlı Kuskus Salatası,https://www.nefisyemektarifleri.com/salgamli-kuskus-salatasi-bayilacaksiniz/,Sebze,Salata,426,62.6,10.1,14.7,6.05,0.05,119.31,335.46,109.74,222.56,19.55,1.69,192.25,2 su bardağı kuskus,3 su bardağı şalgam,1 su bardağı su,1 tutam maydanoz,1 tutam dereotu,1 tutam nane,1 çay bardağı bezelye,5-6 adet yeşil soğan,Kornişon turşu (yaklaşık 5 adet) ya da salatalık,1 su bardağı kutu mısır,Nar ekşisi (yaklaşık 3 yemek kaşığı),1 adet Limon suyu,Zeytinyağı (yaklaşık 6 yemek kaşığı),Tuz,,,,,,,,,,,,,,,,
Babagannuş,https://www.nefisyemektarifleri.com/babagannus-tarifi/,Sebze,Salata,220,30,2.4,10.3,1.2,38.9,273.59,352.79,43.58,34.08,1.57,0.34,321.06,5 tane patlıcan,2 tane kırmızı biber,3 tane yeşil biber,1 tane orta boy soğan,2-3 diş sarımsak,2 tane domates,1 çorba kaşığı biber salçası,4-5 yemek kaşığı kadar zeytinyağı,1 yemek kaşığı sıvı yağ,Karabiber,Kırmızı biber,Tuz,Limon suyu,,,,,,,,,,,,,,,,,
Nohutlu Mercimekli Gün Salatası,https://www.nefisyemektarifleri.com/video/nohutlu-mercimekli-gun-salatasi-videosu/,Bakliyat,Salata,186,19.9,6.2,9.2,6.01,86.1,59.18,362.28,74.91,85.67,27.71,1.9,233.31,2 su bardağı haşlanmış nohut,1 su bardağı haşlanmış yeşil mercimek,1 minik kutu mısır,4 adet közlenmiş patlıcan,2 adet közlenmiş kapya biber,4 adet kornişon salata turşusu,7-8 dal taze soğan,Yarım demet maydanoz,Yarım demet dereotu,6-7 yemek kaşığı sıvı yağ,1 adet limonun suyu,1 tatlı kaşığı tuz,,,,,,,,,,,,,,,,,,
Havuç Taratoru,https://www.nefisyemektarifleri.com/havuc-taratoru-mutlaka-boyle-deneyin-videolu/,Sebze,Salata,456,12,8.1,42.78,2.58,138.91,239.25,442.48,147.92,4763.45,7.71,1.43,72.45,4-5 tane havuç,3 yemek kaşığı zeytinyağ ya da sıvı yağ,1 su bardağına yakın iri kıyılmış ceviz,3-4 tane kornişon salatalık turşusu,1 avuç kadar ince kıyılmış dereotu,2.5 su bardağı yoğurt (yarısını süzme. yarısını normal yoğurt kullandım.),2-3 yemek kaşığı mayonez,2 küçük diş ezilmiş sarımsak,Tuz,Yoğurdun kıvamını ayarlamak için çok az soğuk su,4-5 yemek kaşığı sıvı yağ,Yarım çay bardağı kadar iri kıyılmış ceviz,1 tatlı kaşığı kadar tatlı kırmızı toz biber,,,,,,,,,,,,,,,,,
Semizotu Mezesi,https://www.nefisyemektarifleri.com/video/semizotu-mezesi-tarifi/,Sebze,Salata,54,2.8,2.03,4.04,0.4,4.14,135.02,161.84,73.13,286.84,5.39,1.03,5.72,Yarım demet semizotu,1 adet orta boy salatalık,5 yemek kaşığı süzme yoğurt,3 diş sarımsak,1 tatlı kaşığı kuru nane (tepeleme),1 çay kaşığı tuz,Zeytinyağı,Ceviz,,,,,,,,,,,,,,,,,,,,,,
Yeşil Mercimekli Nohutlu Salata,https://www.nefisyemektarifleri.com/yesil-mercimekli-nohutlu-salata-9307366/,Bakliyat,Salata,482,48.3,18.1,23.4,14.67,10.22,449.64,730.74,175.16,355.58,8.77,5.36,56.34,1 su bardağı yeşil mercimek,1 çay bardağı arpa şehriye,2 tutam ince kıyılmış maydanoz,7 yemek kaşığı süzme yoğurt,2 diş rendelenmiş sarımsak,Tuz . karabiber,1.5 su bardağı haşlanmış nohut,1 adet soğan,5 yemek kaşığı zeytinyağ,1/2 (yarım) yemek kaşığı biber salçası,1/2 (yarım) çay bardağı su,1.5 çay kaşığı kırmızı toz biber,1 çay kaşığı pul biber,1 çay kaşığı ucuyla karabiber ve kimyon,,,,,,,,,,,,,,,,
Makarna Salatasının,https://www.nefisyemektarifleri.com/makarna-salatasinin-hazirlanisi/,Süt Ürünü,Salata,464,79,14,6.7,2.43,7.73,402.26,227.42,91.16,87.3,0.3,0.06,0.32,Yarım paket dirsek makarna,1 su bardağı karışık garnitür,3 kaşık mayonez,4 kaşık yoğurt,Tuz,,,,,,,,,,,,,,,,,,,,,,,,,
Dereotlu Cevizli Salata,https://www.nefisyemektarifleri.com/dereotlu-cevizli-salata/,Sebze,Salata,115,12.5,2.2,6.5,0.8,0,2.2,113.2,17.06,107.6,17.5,0.51,8.91,1 adet kırmızı biber,4-5 adet kornişon turşu,Dereotu,1 avuç ceviz,1 kutu konserve mısır,Nar ekşisi,Zeytinyağ,,,,,,,,,,,,,,,,,,,,,,,
Kuskus Salatam,https://www.nefisyemektarifleri.com/aninda-biten-kuskus-salatam/,Bakliyat,Salata,264,29.2,9.8,11.7,2.35,13.57,161.35,265.8,86.26,4961.5,3.52,0.7,18.47,1 büyük su bardağı kuskus,5 orta boy havuç,Yarım çay kaşığı tuz,Sıvı yağ,500 gram süzme yoğurt,10 adet kornişon turşu,2 diş sarımsak,3 çorba kaşığı mayonez,Gerek olursa tuz,1 çorba kaşığı sıvı yağ,Nane. biber. kekik,,,,,,,,,,,,,,,,,,,
Kaşık Salatası,https://www.nefisyemektarifleri.com/kasik-salatasi-veya-gavurdagi-salatasi/,Sebze,Salata,257,18.9,3.2,19.6,2.5,0,238.1,390.9,39.17,613.8,40.64,1,50.86,2 adet domates,2 adet yeşil biber,3 adet salatalık,1 adet mor soğan (normal soğan da olur),Yarım demet maydanoz,1 çay bardağı ceviz içi (ince kıyılmış),1 çay kaşığı tuz,1 yemek kaşığı sumak,Yarım çay bardağı zeytinyağı (60 ml),Yarım çay bardağı Nar Ekşisi (üzüm sirkesi de olur. 60 ml),,,,,,,,,,,,,,,,,,,,
Mercimek Köfte,https://www.nefisyemektarifleri.com/tam-olculu-mercimek-kofte-3825977/,Bakliyat,Salata,445,43.6,13.7,23.04,10.6,56.2,166.85,483.11,226.31,189.14,9.75,4.34,9.38,2 su bardağı mercimek,Aynı bardak ölçüsü ile 5 su bardağı su,Yine aynı bardak ölçüsü ile 1.5 bardak ince bulgur,1 çay bardağı sıvı yağ (soğanla kavrulacak),1 çay bardağı zeytinyağı (yoğrulma esnasında eklenecek),1 adet büyük kuru soğan,1.5 yemek kaşığı domates salçası,1.5 yemek kaşığı biber salçası,1 tatlı kaşığı karabiber,1 tatlı kaşığı kimyon,1 tatlı kaşığı pul biber,Yarım demet maydanoz,Yarım demet yeşil soğan,Damak zevkinize göre nar ekşisi (yaklaşık 2 yemek kaşığı),Yarım limon suyu,1 tatlı kaşığı tuz,,,,,,,,,,,,,,
Coleslaw Salata,https://www.nefisyemektarifleri.com/video/coleslaw-salata-videosu/,Sebze,Salata,148,19.4,3,6.7,2.9,3.86,341.9,356.2,97.33,4607.4,44.92,0.95,15.25,Orta boy lahananın çeyreği,2 orta boy havuç,3-4 yemek kaşığı haşlanmış mısır,1 tutam ince kıyılmış dereotu,İsteğe bağlı 1 diş sarımsak,1 yemek kaşığı elma sirkesi,1 yemek kaşığı toz şeker,1 tatlı kaşığı tuz,2 yemek kaşığı limon suyu,4 yemek kaşığı dolusu mayonez,2 yemek kaşığı dolusu yoğurt susuz yerinden,,,,,,,,,,,,,,,,,,,
Yoğurtlu Kabak Salatası,https://www.nefisyemektarifleri.com/nefis-yogurtlu-kabak-salatasi-3840140/,Süt Ürünü,Salata,232,10,5.7,19.2,2.26,7.02,47.3,324.98,165.1,328.3,18.19,2.06,25.79,3 adet kabak,1 kutu mısır,Yarım çay bardağı kırılmış ceviz (isteğe bağlı),Yarım demet dereotu,1.5 su bardağı yoğurt,2 diş ezilmiş sarımsak,2 yemek kaşığı sıvı yağ,Tuz,Zeytinyağı,1 çay kaşığı pul biber,,,,,,,,,,,,,,,,,,,,
Rus Salatası,https://www.nefisyemektarifleri.com/rus-salatasi-tam-kivaminda/,Süt Ürünü,Salata,173,35,6.6,0.7,6,0,51.4,790.8,39,4481.2,2.32,1.09,78.56,3-4 adet patates,2-3 adet havuç,1 su bardağı bezelye,1 küçük konserve mısır (1 su bardağı),1 çay bardağı kadar kornişon (6 adet),Yarım su bardağı mayonez (5 yemek kaşığı),1 su bardağı susuz tarafından yoğurt,Tuz,İsteğe bağlı olarak (haşlanmış tavuk eti yada hindi füme de ekleyebilirsiniz. ben kullanmadım),,,,,,,,,,,,,,,,,,,,,
Yoğurtlu Kereviz Salatası,https://www.nefisyemektarifleri.com/yogurtlu-kereviz-salatasi-2606641/,Süt Ürünü,Salata,284,10,5.6,25,8.2,6.9,135.6,320.6,119,129.8,7.1,1.1,41.76,1 adet orta boy kereviz,1.5 su bardağı süzme yoğurt,3 yemek kaşığı mayonez,2 diş sarımsak,Dereotu,1 çay bardağı ceviz,Tuz,3 yemek kaşığı zeytinyağı,2 yemek kaşığı ceviz,,,,,,,,,,,,,,,,,,,,,
Mercimek Salatası,https://www.nefisyemektarifleri.com/mercimek-salatasi-3673269/,Bakliyat,Salata,306,24.4,12.6,14.9,14.9,0,187.13,440.94,542.4,275.64,48.86,5.17,26.45,1 kase haşlanmış yeşil mercimek (1 su bardağı haşlanmamış mercimek),1 orta boy kapya biber,6-7 adet kornişon turşu,2 tutam maydanoz,1 tutam dereotu,2 dal taze soğan (isteğe bağlı),3-4 yemek kaşığı zeytinyağı,1 adet limon suyu,yarım tatlı kaşığı tuz,,,,,,,,,,,,,,,,,,,,,
Közlenmiş Patlıcan Salatası,https://www.nefisyemektarifleri.com/kozlenmis-patlican-salatasi-tarifi/,Sebze,Salata,181,10.6,3.2,14.6,7.17,0,139.98,329.44,378.38,531.19,80.31,1.26,40.9,4 tane patlıcan,2 adet kırmızı biber,4 adet çarliston biber,1 adet kuru soğan,2 adet domates,2-3 diş sarımsak,4-5 yemek kaşığı zeytinyağı,Yarım limon suyu,1 çay kaşığı tuz,,,,,,,,,,,,,,,,,,,,,
Antakya Usulü Kısır,https://www.nefisyemektarifleri.com/antakya-usulu-muhtesem-kisir/,Bakliyat,Salata,684,56.52,7.9,47.7,8.15,0.31,237.57,430.2,135.29,450.52,20.62,4.9,33.79,3 su bardağı orta kalınlıkta bulgur,3 bu bardağı kaynamış su,1 yemek kaşığı pulbiber,3 yemek kaşığı biber salçası,2 dolu yemek kaşığı domates salçası,1 dolu yemek kaşığı kuru fesleğen,1 tatlı kaşığı kimyon,1 tatlı kaşığı karabiber,5 dolu yemek kaşığı nar ekşisi,1.5 su bardağı zeytinyağı,2 demet maydanoz,2 demet yeşil nane,Fotoğraftaki Kadar yeşil soğan,2 adet yeşil sarımsak,Servis etmek için marul,,,,,,,,,,,,,,,
Ton Balıklı Salata,https://www.nefisyemektarifleri.com/ton-balikli-salata/,Balık,Salata,366,18,21,22,2.42,0,363.08,782.04,61.32,660.48,47.76,1.48,82.98,5-6 yaprak marul,2-3 dal maydanoz,4 adet çeri domates,1 kutu küçük boy ton balığı,2 yemek kaşığı konserve mısır,1 yemek kaşığı zeytinyağı,Yarım limon suyu,Tuz,,,,,,,,,,,,,,,,,,,,,,
Narlı Mor Lahana Salatası,https://www.nefisyemektarifleri.com/video/narli-mor-lahana-salatasi/,Sebze,Salata,152,18.4,1.4,7.8,3.3,0,174.09,426.6,51.8,180.3,75.5,1.08,17.37,Çeyrek mor lahana,2 adet salatalık,1 adet kırmızı kapya biber,3 dal taze soğan,Yarım demet maydanoz,Yarım nar,Yarım portakal suyu,2 yemek kaşığı nar ekşisi,3 yemek kaşığı zeytinyağı,1 tatlı kaşığı kuru nane,Yarım tatlı kaşığı tuz,,,,,,,,,,,,,,,,,,,
Arpa Şehriye Salatası,https://www.nefisyemektarifleri.com/arpa-sehriye-salatasi-178832/,Sebze,Salata,260,39.2,6.3,9.1,2.7,0,25.7,163.28,30.5,115.4,26.14,163.5,25.61,2 su bardağı arpa şehriye,2 yemek kaşığı sıvı yağ (şehriyeleri pişirmek için),3 su bardağı su ve tuz,4-5 dal taze soğan,Yarım demet maydanoz,Bir tutam dereotu,2-3 adet közlenmiş kırmızı biber,1 kutu mısır konservesi,4-5 adet kornişon turşu,Tuz. limon suyu. zeytinyağı,,,,,,,,,,,,,,,,,,,,
Coleslaw Salata,https://www.nefisyemektarifleri.com/coleslaw-salata-yok-boyle-bir-lezzet/,Sebze,Salata,148,19,2.9,7,3.35,3.8,589.6,571.4,205.38,4630.75,45.02,0.96,15.25,Orta boy lahananın çeyreği,2 orta boy havuç,3-4 yemek kaşığı haşlanmış mısır,1 tutam ince kıyılmış dereotu,İsteğe bağlı 1 diş sarımsak,1 yemek kaşığı elma sirkesi,1 yemek kaşığı toz şeker,1 tatlı kaşığı tuz,2 yemek kaşığı limon suyu,4 yemek kaşığı dolusu mayonez,2 yemek kaşığı dolusu yoğurt susuz yerinden,,,,,,,,,,,,,,,,,,,
Kısır,https://www.nefisyemektarifleri.com/kisir-yemelere-doyamayacaginiz-tam-kivaminda/,Bakliyat,Salata,425,57.8,8.6,18.8,8.2,0,155.4,489.8,55.6,91.4,18.65,4,29.37,2 su bardağı kısırlık bulgur,1 su bardağı sıcak su(yani koyduğunuz bulgur miktarının yarısı olmalı su miktarı aksi taktirde pilav gibi olur),1 çay bardağı sıvı yağ,1 yemek kaşığı domates salçası,1 yemek kaşığı biber salçası,1 demet maydanoz,5 adet taze soğan,7 -8 adet kornişon turşu,1 adet limonun suyu,1 tatlı kaşığı tuz,Yarım çay kaşığı karabiber,,,,,,,,,,,,,,,,,,,
Patates Salatası Yapımı,https://www.nefisyemektarifleri.com/patates-salatasi-yapimi-sule-dalbudak/,Sebze,Salata,204,25.8,3.2,9.3,2.21,0,141.26,581.51,155.6,127.8,8.7,0.27,21.07,5 tane orta boy patates (isteğe göre çoğaltabilirsiniz),1 tane kuru soğan,1 bağ maydanoz,1-2 tane taze soğan,1 çay bardağı sıvı yağ,1 limon,tuz,pul biber,,,,,,,,,,,,,,,,,,,,,,
Kuru Domates Salatası,https://www.nefisyemektarifleri.com/kuru-domates-salatasi-asiri-lezzet-icerir-videolu/,Sebze,Salata,349,7,4,34,1.15,0.1,106.41,212.65,27.66,219.11,5.15,0.86,72.27,13 -15 adet kuru domates,1 çay bardağı zeytinyağı,1 çay bardağı dövülmüş ceviz içi,3- 4 diş sarımsak,Bir tutam maydanoz,1 tatlı kaşığı kekik,1 tatlı kaşığı toz biber,Yarım çay kaşığı karabiber,Yeteri kadar tuz (1 çay kaşığı),,,,,,,,,,,,,,,,,,,,,
